,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-19 00:24,,,,,,,,
2026-03-19 01:41,,,,,,,,
2026-03-19 02:38,,,,,,,,
2026-03-19 03:35,,,,,,,,
2026-03-19 07:27,,,,,,,,
2026-03-19 07:57,,,,,,,,
2026-03-19 08:53,65.0,,20.0,35.0,80.0,30.0,10.0,5.0
2026-03-19 09:59,135.0,,140.0,45.0,110.0,60.0,55.0,20.0
2026-03-19 10:50,105.0,,120.0,75.0,140.0,80.0,80.0,30.0
2026-03-19 11:39,115.0,,95.0,90.0,110.0,60.0,70.0,40.0
2026-03-19 12:37,105.0,,120.0,90.0,115.0,75.0,65.0,45.0
2026-03-19 13:37,120.0,,165.0,105.0,110.0,70.0,70.0,20.0
2026-03-19 14:30,95.0,,70.0,105.0,130.0,70.0,80.0,30.0
2026-03-19 15:28,90.0,,110.0,80.0,110.0,55.0,45.0,30.0
2026-03-19 15:59,75.0,,95.0,65.0,110.0,55.0,70.0,20.0
2026-03-19 16:41,80.0,,110.0,135.0,105.0,55.0,40.0,20.0
2026-03-19 17:07,90.0,,75.0,105.0,95.0,55.0,40.0,10.0
2026-03-19 17:47,75.0,,85.0,85.0,115.0,65.0,60.0,10.0
2026-03-19 18:02,75.0,,85.0,30.0,105.0,70.0,55.0,10.0
