,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-23 00:31,,,,,
2026-03-23 01:55,,,,,
2026-03-23 03:06,,,,,
2026-03-23 07:37,,30.0,10.0,,
2026-03-23 08:07,5.0,60.0,15.0,,
2026-03-23 09:44,25.0,70.0,40.0,65.0,
2026-03-23 10:42,35.0,70.0,50.0,55.0,10.0
2026-03-23 11:42,35.0,70.0,60.0,65.0,40.0
2026-03-23 12:34,50.0,60.0,50.0,55.0,40.0
2026-03-23 13:28,25.0,60.0,60.0,45.0,55.0
2026-03-23 14:09,45.0,60.0,50.0,30.0,100.0
2026-03-23 15:10,35.0,40.0,55.0,20.0,120.0
2026-03-23 15:53,35.0,60.0,60.0,10.0,20.0
2026-03-23 16:25,25.0,45.0,60.0,10.0,20.0
