,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-08-16 00:06,,,,,,,,
2026-08-16 00:46,,,,,,,,
2026-08-16 01:13,,,,,,,,
2026-08-16 01:44,,,,,,,,
2026-08-16 02:02,,,,,,,,
2026-08-16 02:53,,,,,,,,
2026-08-16 03:23,,,,,,,,
2026-08-16 07:10,,,,,,,,
2026-08-16 07:31,,,,,,,,
2026-08-16 07:47,,,,,,,,
2026-08-16 07:59,,,,,,,,
2026-08-16 08:38,20.0,,13.0,10.0,45.0,15.0,5.0,5.0
2026-08-16 09:16,60.0,,25.0,20.0,45.0,40.0,25.0,5.0
2026-08-16 09:45,50.0,,30.0,20.0,50.0,35.0,35.0,5.0
2026-08-16 10:00,45.0,,30.0,30.0,55.0,40.0,35.0,5.0
2026-08-16 10:25,45.0,,20.0,35.0,50.0,45.0,35.0,10.0
2026-08-16 10:45,50.0,,15.0,50.0,40.0,45.0,35.0,10.0
2026-08-16 10:59,45.0,,30.0,45.0,50.0,50.0,45.0,10.0
2026-08-16 11:21,45.0,,40.0,45.0,55.0,50.0,45.0,10.0
