,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-08 00:44,,,,,,,,,,
2026-04-08 02:12,,,,,,,,,,
2026-04-08 03:53,,,,,,,,,,
2026-04-08 07:45,,,,,,,,,,
2026-04-08 08:44,55.0,55.0,55.0,,,5.0,15.0,,,5.0
2026-04-08 10:17,120.0,120.0,80.0,35.0,20.0,35.0,45.0,70.0,5.0,30.0
2026-04-08 11:49,110.0,110.0,75.0,60.0,35.0,30.0,30.0,70.0,15.0,35.0
2026-04-08 12:46,110.0,105.0,65.0,50.0,25.0,25.0,40.0,90.0,20.0,15.0
2026-04-08 13:47,,95.0,75.0,65.0,15.0,25.0,30.0,,20.0,30.0
2026-04-08 14:53,95.0,95.0,115.0,65.0,30.0,20.0,30.0,95.0,10.0,25.0
2026-04-08 15:52,,105.0,125.0,40.0,20.0,30.0,40.0,115.0,15.0,40.0
2026-04-08 16:28,,120.0,100.0,45.0,30.0,30.0,45.0,125.0,15.0,25.0
2026-04-08 17:09,90.0,95.0,90.0,55.0,15.0,15.0,20.0,,20.0,25.0
2026-04-08 17:57,130.0,110.0,120.0,40.0,25.0,25.0,20.0,50.0,15.0,5.0
2026-04-08 18:35,,95.0,,50.0,5.0,30.0,25.0,125.0,15.0,5.0
2026-04-08 19:21,,115.0,100.0,40.0,5.0,20.0,25.0,125.0,15.0,5.0
2026-04-08 19:54,,80.0,70.0,40.0,5.0,25.0,25.0,95.0,15.0,5.0
