,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-08-01 01:40,,,,,,,,
2026-08-01 03:50,,,,,,,,
2026-08-01 07:54,,,,,,,,
2026-08-01 08:48,,,,20.0,75.0,25.0,,5.0
2026-08-01 10:16,,,35.0,40.0,70.0,40.0,50.0,5.0
2026-08-01 11:28,,,75.0,40.0,65.0,45.0,40.0,20.0
2026-08-01 12:28,,,110.0,45.0,70.0,45.0,50.0,5.0
2026-08-01 13:29,,,70.0,45.0,,40.0,50.0,30.0
2026-08-01 14:28,,,60.0,65.0,,45.0,40.0,5.0
2026-08-01 15:42,,,65.0,30.0,100.0,40.0,45.0,5.0
2026-08-01 16:31,,,80.0,30.0,,45.0,65.0,5.0
