,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-29 00:43,,,,,,,,
2026-03-29 02:03,,,,,,,,
2026-03-29 03:17,,,,,,,,
2026-03-29 07:20,,,,,,,,
2026-03-29 07:47,,,,,,,,
2026-03-29 08:01,,,,,,,,
2026-03-29 09:09,90.0,,20.0,25.0,115.0,30.0,55.0,5.0
2026-03-29 09:58,100.0,,70.0,80.0,85.0,50.0,40.0,5.0
2026-03-29 10:32,85.0,,80.0,75.0,80.0,60.0,75.0,20.0
2026-03-29 11:02,105.0,,50.0,75.0,110.0,70.0,50.0,20.0
2026-03-29 11:40,95.0,,60.0,95.0,100.0,60.0,50.0,30.0
2026-03-29 12:01,85.0,,75.0,145.0,95.0,60.0,60.0,30.0
2026-03-29 12:40,75.0,,35.0,,100.0,40.0,55.0,20.0
2026-03-29 13:04,80.0,,50.0,85.0,100.0,65.0,50.0,15.0
2026-03-29 13:42,50.0,,50.0,115.0,80.0,45.0,50.0,5.0
2026-03-29 14:01,60.0,,40.0,130.0,70.0,,60.0,15.0
2026-03-29 14:54,80.0,,70.0,140.0,120.0,,,5.0
2026-03-29 15:24,95.0,,95.0,155.0,120.0,,,15.0
2026-03-29 15:51,110.0,,95.0,165.0,110.0,,50.0,10.0
2026-03-29 16:16,95.0,,60.0,170.0,95.0,,,10.0
2026-03-29 16:51,50.0,,40.0,180.0,80.0,,30.0,10.0
2026-03-29 17:17,50.0,,45.0,140.0,80.0,,,10.0
2026-03-29 17:49,55.0,,90.0,85.0,120.0,,25.0,5.0
2026-03-29 18:03,60.0,,90.0,75.0,110.0,,50.0,5.0
2026-03-29 18:42,45.0,,75.0,85.0,70.0,70.0,50.0,5.0
