,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-04 00:09,,,,,,,,,,,,,,,,,,,,
2026-04-04 01:35,,,,,,,,,,,,,,,,,,,,
2026-04-04 02:38,,,,,,,,,,,,,,,,,,,,
2026-04-04 03:36,,,,,,,,,,,,,,,,,,,,
2026-04-04 07:20,,,,,,,,,,,,,,,,,,,,
2026-04-04 07:47,,50.0,,,25.0,,,5.0,5.0,,,,,,20.0,,5.0,5.0,,5.0
2026-04-04 08:01,30.0,45.0,10.0,5.0,40.0,,,5.0,5.0,13.0,,5.0,,10.0,25.0,,5.0,10.0,,
2026-04-04 09:14,95.0,45.0,20.0,10.0,35.0,,25.0,5.0,5.0,13.0,,10.0,,15.0,30.0,5.0,15.0,5.0,10.0,20.0
2026-04-04 09:59,75.0,65.0,45.0,15.0,,,40.0,10.0,15.0,10.0,,20.0,,10.0,35.0,10.0,15.0,5.0,10.0,30.0
2026-04-04 10:34,55.0,65.0,45.0,30.0,65.0,,40.0,30.0,25.0,30.0,,20.0,,10.0,30.0,10.0,20.0,10.0,10.0,
2026-04-04 11:02,70.0,55.0,45.0,30.0,55.0,,60.0,15.0,25.0,35.0,,25.0,,15.0,35.0,20.0,20.0,20.0,10.0,40.0
2026-04-04 11:40,70.0,65.0,50.0,45.0,45.0,,50.0,25.0,35.0,40.0,,30.0,,10.0,50.0,25.0,25.0,25.0,10.0,50.0
2026-04-04 11:59,70.0,70.0,40.0,40.0,40.0,,50.0,25.0,35.0,40.0,,30.0,,10.0,40.0,25.0,15.0,30.0,10.0,40.0
2026-04-04 12:39,70.0,55.0,40.0,45.0,45.0,,25.0,15.0,20.0,25.0,,20.0,10.0,15.0,30.0,20.0,10.0,30.0,10.0,30.0
2026-04-04 13:04,60.0,60.0,45.0,60.0,55.0,,50.0,20.0,10.0,30.0,,30.0,15.0,15.0,40.0,20.0,10.0,25.0,10.0,35.0
2026-04-04 13:41,75.0,60.0,50.0,55.0,50.0,,50.0,15.0,25.0,30.0,,30.0,20.0,15.0,35.0,25.0,20.0,30.0,10.0,40.0
2026-04-04 14:01,75.0,70.0,50.0,50.0,50.0,,,,25.0,35.0,,20.0,20.0,15.0,45.0,20.0,25.0,30.0,10.0,40.0
2026-04-04 14:53,85.0,65.0,40.0,50.0,50.0,,,30.0,20.0,30.0,,30.0,25.0,15.0,30.0,25.0,20.0,35.0,10.0,40.0
2026-04-04 15:21,95.0,65.0,50.0,60.0,45.0,,50.0,15.0,20.0,30.0,,10.0,,15.0,40.0,25.0,10.0,20.0,10.0,30.0
2026-04-04 15:48,85.0,60.0,65.0,60.0,65.0,,45.0,20.0,20.0,40.0,,20.0,15.0,10.0,35.0,20.0,10.0,20.0,10.0,45.0
2026-04-04 16:01,55.0,60.0,40.0,65.0,65.0,,55.0,35.0,20.0,35.0,,20.0,25.0,10.0,40.0,30.0,15.0,20.0,10.0,50.0
