,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-02 00:35,,,,,,,,,,
2026-04-02 02:00,,,,,,,,,,
2026-04-02 03:26,,,,,,,,,,
2026-04-02 07:38,,,,,,,,,,
2026-04-02 08:36,,65.0,70.0,,5.0,5.0,15.0,40.0,,5.0
2026-04-02 10:05,120.0,95.0,50.0,60.0,5.0,25.0,15.0,55.0,5.0,5.0
2026-04-02 11:11,115.0,110.0,70.0,65.0,25.0,40.0,20.0,60.0,5.0,40.0
2026-04-02 12:11,150.0,125.0,75.0,65.0,20.0,35.0,35.0,65.0,5.0,45.0
2026-04-02 13:08,,135.0,90.0,65.0,20.0,35.0,40.0,,25.0,15.0
2026-04-02 13:58,,95.0,110.0,85.0,15.0,25.0,15.0,,10.0,20.0
2026-04-02 14:56,120.0,95.0,90.0,75.0,10.0,25.0,25.0,80.0,5.0,25.0
2026-04-02 15:45,125.0,110.0,95.0,75.0,10.0,20.0,25.0,,20.0,20.0
2026-04-02 16:19,,110.0,95.0,80.0,20.0,20.0,30.0,75.0,10.0,20.0
2026-04-02 16:56,,130.0,95.0,95.0,25.0,30.0,30.0,75.0,10.0,15.0
2026-04-02 17:31,,105.0,70.0,90.0,10.0,35.0,,80.0,5.0,5.0
