,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-08-24 00:23,,,,,,,,,,,,,,,,,,,,
2026-08-24 01:08,,,,,,,,,,,,,,,,,,,,
2026-08-24 01:50,,,,,,,,,,,,,,,,,,,,
2026-08-24 02:27,,,,,,,,,,,,,,,,,,,,
2026-08-24 03:37,,,,,,,,,,,,,,,,,,,,
2026-08-24 07:17,,,,,,,,,,,,,,,,,,,,
2026-08-24 07:45,,,,,,,,,,,,,,,,,,,,
2026-08-24 08:02,,,,,,,,,,,,,,,,,,,,
2026-08-24 09:04,30.0,40.0,5.0,,25.0,30.0,35.0,5.0,5.0,,,5.0,5.0,,30.0,5.0,15.0,5.0,,
2026-08-24 09:58,55.0,35.0,35.0,20.0,25.0,25.0,30.0,5.0,5.0,13.0,10.0,15.0,5.0,10.0,15.0,5.0,15.0,5.0,,
2026-08-24 10:33,55.0,40.0,30.0,20.0,40.0,25.0,30.0,15.0,5.0,13.0,5.0,10.0,5.0,10.0,,15.0,20.0,5.0,,
