,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-10 01:51,,,,,,,,,,
2026-05-10 03:50,,,,,,,,,,
2026-05-10 07:41,,,,,,,,,,
2026-05-10 08:40,20.0,70.0,55.0,5.0,,5.0,15.0,,,5.0
2026-05-10 10:05,80.0,80.0,25.0,15.0,20.0,5.0,15.0,50.0,5.0,5.0
2026-05-10 11:05,80.0,80.0,60.0,45.0,25.0,25.0,15.0,50.0,5.0,20.0
2026-05-10 12:04,95.0,85.0,15.0,45.0,25.0,25.0,15.0,55.0,10.0,30.0
2026-05-10 13:06,85.0,95.0,50.0,35.0,20.0,25.0,15.0,80.0,5.0,35.0
2026-05-10 14:00,90.0,60.0,55.0,35.0,20.0,10.0,15.0,80.0,25.0,35.0
2026-05-10 15:09,75.0,95.0,50.0,40.0,30.0,10.0,15.0,55.0,15.0,15.0
