,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-17 00:09,,,,,
2026-08-17 00:55,,,,,
2026-08-17 01:32,,,,,
2026-08-17 02:02,,,,,
2026-08-17 03:10,,,,,
2026-08-17 07:15,,,,,
2026-08-17 07:41,5.0,55.0,10.0,,
2026-08-17 07:58,5.0,65.0,10.0,,
2026-08-17 08:36,10.0,55.0,25.0,50.0,
2026-08-17 09:23,25.0,50.0,45.0,50.0,
2026-08-17 09:56,25.0,50.0,45.0,50.0,45.0
2026-08-17 10:20,30.0,50.0,50.0,50.0,45.0
2026-08-17 10:48,35.0,50.0,60.0,55.0,35.0
2026-08-17 11:09,40.0,60.0,45.0,45.0,35.0
2026-08-17 11:36,50.0,55.0,45.0,40.0,40.0
